,Carter Number,Name
zasloma01,6,Max Zaslofsky
okeefdi01,6,Dick O'Keefe
fulksjo01,6,Joe Fulks
gilmuch01,6,Chuck Gilmur
halbech01,6,Chick Halbert
hertzso01,6,Sonny Hertzberg
holzmre01,6,Red Holzman
johnsar01,6,Arnie Johnson
colemja01,5,Jack Coleman
maughar01,6,Ariel Maughan
gallaha01,5,Harry Gallatin
miasest01,6,Stan Miasek
mikange01,6,George Mikan
mikkeve01,6,Vern Mikkelsen
mcguidi01,5,Dick McGuire
towerbl01,7,Blackie Towery
walkebr01,6,Brady Walker
senesge01,6,George Senesky
spearod01,6,Odie Spears
schaufr01,6,Fred Schaus
braunca01,5,Carl Braun
barnhle01,6,Leo Barnhorst
roberbi01,6,Bill Roberts
reisech01,6,Chick Reiser
macaued01,5,Ed Macauley
shannho01,7,Howie Shannon
wanzebo01,5,Bobby Wanzer
martisl01,5,Slater Martin
hermskl01,6,Kleggie Hermsen
duncaan01,6,Andy Duncan
klierle01,7,Leo Klier
rollike01,6,Kenny Rollins
scolafr01,6,Fred Scolari
currafr01,6,Fran Curran
carpebo01,6,Bob Carpenter
parhaea01,6,Easy Parham
pollaji01,6,Jim Pollard
budkowa01,6,Walt Budko
harribo02,5,Bob Harrison
fleisje01,6,Jerry Fleishman
kudelfr01,6,Frank Kudelka
rochare01,6,Red Rocha
phillan01,5,Andy Phillip
schaehe01,6,Herm Schaefer
seminji01,7,Jim Seminoff
noelpa01,6,Paul Noel
crossch01,7,Chink Crossin
komenmi01,7,Milo Komenich
grozaal01,7,Alex Groza
halebr01,7,Bruce Hale
hannual01,5,Alex Hannum
mogusle01,6,Leo Mogus
eddledi01,6,Dike Eddleman
gatesfr01,7,Frank Gates
schaydo01,5,Dolph Schayes
hollajo01,6,Joe Holland
dolhojo01,7,Joe Dolhon
clossbi01,6,Bill Closs
kerrija01,6,Jack Kerris
daviebo01,6,Bob Davies
leedeed01,6,Ed Leede
brianfr01,6,Frankie Brian
wagercl01,7,Clint Wager
gardnve01,6,Vern Gardner
armstcu01,6,Curly Armstrong
ferriar01,6,Arnie Ferrin
seymopa01,5,Paul Seymour
mehendi01,6,Dick Mehen
brownbo01,7,Bob Brown
calhobi01,5,Bill Calhoun
toomaja01,7,Jack Toomay
schoomi01,7,Milt Schoon
harribo01,6,Bob Harris
ratkoge01,5,George Ratkovicz
rittete01,6,Tex Ritter
loganjo01,6,John Logan
bovendo01,6,Don Boven
kubiale01,7,Leo Kubiak
petered01,6,Ed Peterson
morrima01,7,Max Morris
risenar01,5,Arnie Risen
jarosto01,6,Tony Jaros
raydo01,7,Don Ray
boykoha01,6,Harry Boykoff
seewa01,7,Wayne See
smawlbe01,6,Belus Smawley
burmaja01,7,Jack Burmaster
perkiwa01,6,Warren Perkins
levanan01,6,Andrew Levane
joneswa01,6,Wah Wah Jones
corlera01,6,Ray Corley
hoffmpa01,6,Paul Hoffman
bornhja01,7,Jake Bornheimer
kinnebo01,7,Bob Kinney
sobekch01,7,Chips Sobek
simmoco01,6,Connie Simmons
feeribo01,6,Bob Feerick
beardra01,7,Ralph Beard
hargijo01,6,John Hargis
borylvi01,6,Vince Boryla
macknjo01,6,Johnny Macknowski
brannbo01,6,Bob Brannum
oldhajo01,6,John Oldham
lumppra01,6,Ray Lumpp
mcmulma01,7,Mal McMullen
bobbne01,6,Nelson Bobb
sailoke01,7,Kenny Sailors
grabojo01,5,Joe Graboski
putnado01,6,Don Putman
stanced01,6,Ed Stanczak
carlsdo01,6,Don Carlson
lavelto01,6,Tony Lavelli
cervial01,6,Al Cervi
vanbrbu01,6,Butch van Breda Kolff
gaborbi01,6,Bill Gabor
pughle01,7,Les Pugh
wiermu01,7,Murray Wier
novakmi01,6,Mike Novak
lautewa01,7,Walt Lautenbach
kaftage01,6,George Kaftan
katkale01,6,Leo Katkaveck
cottoja01,7,Jack Cotton
jorgeno01,6,Noble Jorgensen
mckinbo01,6,Bones McKinney
byrneto01,6,Tommy Byrnes
crockdi01,6,Dillard Crocker
sadowed01,7,Ed Sadowski
todormi01,6,Mike Todorovich
cookbo01,7,Bobby Cook
nichoja01,5,Jack Nichols
chollle01,6,Leroy Chollet
saulpe01,5,Pep Saul
barkecl01,6,Cliff Barker
dollbo01,7,Bob Doll
smileja01,7,Jack Smiley
evansbo01,7,Bob Evans
ottenma01,6,Mac Otten
ottendo01,6,Don Otten
bradljo01,6,Joe Bradley
donovha01,6,Harry Donovan
henrybi01,7,Bill Henry
mikaned01,6,Ed Mikan
gibsode01,7,Dee Gibson
shaefca01,7,Carl Shaeffer
hassebi01,6,Billy Hassett
royerbo01,7,Bob Royer
vandeer01,6,Ernie Vandeweghe
guokaal01,7,Al Guokas
phelaja01,7,Jack Phelan
norlajo01,6,Johnny Norlander
hawkima01,7,Marshall Hawkins
ezersjo01,7,Johnny Ezersky
livinro01,6,Ron Livingstone
volkefl01,7,Floyd Volker
jeannbu01,7,Buddy Jeannette
wilcudc01,6,D.C. Wilcutt
oconnde01,7,Dermie O'Connell
mullajo01,7,Joe Mullaney
mahnkjo01,6,John Mahnken
blackch01,6,Charlie Black
nostrge01,6,George Nostrand
owensre01,6,Red Owens
payakjo01,6,Johnny Payak
schulho01,6,Howie Schultz
vancege01,6,Gene Vance
johnsra01,6,Ralph Johnson
grantbu01,6,Bud Grant
seltzro01,7,Rollie Seltz
patrist01,7,Stan Patrick
schatma01,7,Marv Schatzman
kluehdu01,6,Duane Klueh
vonniwh01,7,Whitey Von Nieda
kirkwa01,6,Walt Kirk
niemiri01,7,Richie Niemiera
brownji01,7,Jim Browne
walthpa01,6,Paul Walther
gibsoho01,7,Hoot Gibson
schuldi01,7,Dick Schulz
jamesge01,6,Gene James
stumpge01,7,Gene Stump
dardeji01,7,Jimmy Darden
mazzama01,7,Matt Mazza
odonnan01,7,Andy O'Donnell
engluge01,7,Gene Englund
shippch01,7,Charley Shipp
mandijo01,6,John Mandic
dilloho01,6,Hook Dillon
orrjo01,6,Johnny Orr
toughbo01,7,Bob Tough
lewisfr01,7,Freddie Lewis
gaineel01,7,Elmer Gainer
hamilda01,7,Dale Hamilton
nagelje01,7,Jerry Nagel
ollrige01,7,Gene Ollrich
hermabi01,7,Bill Herman
carteja01,7,Jake Carter
barteed01,6,Ed Bartels
selbogl01,7,Glen Selbo
feigege01,6,George Feigenbaum
wagneda01,7,Danny Wagner
hahnro01,6,Robert Hahn
chanejo01,7,John Chaney
janotho01,7,Howie Janotta
doddea01,7,Earl Dodd
parslch01,7,Charlie Parsley
miksial01,7,Al Miksis
spectar01,7,Art Spector
brookpr01,6,Price Brookfield
pritcjo01,7,John Pritchard
