,Player,Tm,G,Year,ID
124,Mike Gminski,PHI,82,1989,gminsmi01
134,A.C. Green,LAL,82,1989,greenac01
274,Hakeem Olajuwon,HOU,82,1989,olajuha01
107,Alex English,DEN,82,1989,englial01
372,Otis Thorpe,HOU,82,1989,thorpot01
104,Craig Ehlo,CLE,82,1989,ehlocr01
363,Reggie Theus,ATL,82,1989,theusre01
42,Scott Brooks,PHI,82,1989,brooksc01
353,John Stockton,UTA,82,1989,stockjo01
347,Rik Smits,IND,82,1989,smitsri01
101,Mark Eaton,UTA,82,1989,eatonma01
138,Sidney Green,NYK,82,1989,greensi02
142,Darrell Griffith,UTA,82,1989,griffda01
154,Roy Hinson,NJN,82,1989,hinsoro01
334,Brian Shaw,BOS,82,1989,shawbr01
222,Grant Long,MIA,82,1989,longgr01
64,Lester Conner,NJN,82,1989,connele01
217,Alton Lister,SEA,82,1989,listeal01
302,Robert Reid,CHH,82,1989,reidro01
212,Jim Les,UTA,82,1989,lesji01
148,Ron Harper,CLE,82,1989,harpero01
323,Mike Sanders,CLE,82,1989,sandemi01
75,Earl Cureton,CHH,82,1989,curetea01
273,Charles Oakley,NYK,82,1989,oaklech01
105,Dale Ellis,SEA,82,1989,ellisda01
240,Xavier McDaniel,SEA,82,1989,mcdanxa01
255,Chris Mullin,GSW,82,1989,mullich01
177,Vinnie Johnson,DET,82,1989,johnsvi01
422,John Williams,WSB,82,1989,willijo02
421,Hot Rod Williams,CLE,82,1989,williho01
244,Derrick McKey,SEA,82,1989,mckeyde01
14,Greg Anderson,SAS,82,1989,andergr01
17,Ron Anderson,PHI,82,1989,anderro01
20,Thurl Bailey,UTA,82,1989,baileth01
402,Mark West,PHO,82,1989,westma01
311,Dennis Rodman,DET,82,1989,rodmade01
114,Sleepy Floyd,HOU,82,1989,floydsl01
24,John Battle,ATL,82,1989,battljo01
147,Derek Harper,DAL,81,1989,harpede01
293,Terry Porter,POR,81,1989,portete01
399,Spud Webb,ATL,81,1989,webbsp01
436,James Worthy,LAL,81,1989,worthja01
71,Dave Corzine,CHI,81,1989,corzida01
434,Mike Woodson,HOU,81,1989,woodsmi01
381,Trent Tucker,NYK,81,1989,tucketr01
216,Reggie Lewis,BOS,81,1989,lewisre01
189,Michael Jordan,CHI,81,1989,jordami01
87,Walter Davis,DEN,81,1989,daviswa03
174,Kevin Johnson,PHO,81,1989,johnske02
416,Gerald Wilkins,NYK,81,1989,wilkige01
