,Carter Number,Name
armstcu01,6,Curly Armstrong
barkecl01,6,Cliff Barker
barnhle01,6,Leo Barnhorst
barteed01,6,Ed Bartels
beardra01,7,Ralph Beard
bercege01,6,Gene Berce
blackch01,6,Charlie Black
bobbne01,6,Nelson Bobb
bornhja01,7,Jake Bornheimer
borylvi01,6,Vince Boryla
bovendo01,6,Don Boven
boykoha01,6,Harry Boykoff
bradljo01,6,Joe Bradley
brannbo01,5,Bob Brannum
braunca01,5,Carl Braun
brianfr01,6,Frankie Brian
brookpr01,6,Price Brookfield
brownbo01,7,Bob Brown
brownji01,7,Jim Browne
budkowa01,6,Walt Budko
burmaja01,6,Jack Burmaster
byrneto01,6,Tommy Byrnes
calhobi01,5,Bill Calhoun
carlsdo01,6,Don Carlson
carpebo01,6,Bob Carpenter
carteja01,7,Jake Carter
cervial01,6,Al Cervi
chanejo01,6,John Chaney
chollle01,6,Leroy Chollet
clossbi01,6,Bill Closs
cloydpa01,6,Paul Cloyd
colemja01,5,Jack Coleman
cookbo01,6,Bobby Cook
corlera01,6,Ray Corley
cottoja01,7,Jack Cotton
crockdi01,6,Dillard Crocker
crossch01,7,Chink Crossin
currafr01,6,Fran Curran
dardeji01,7,Jimmy Darden
daviebo01,6,Bob Davies
dilloho01,6,Hook Dillon
doddea01,7,Earl Dodd
dolhojo01,6,Joe Dolhon
dollbo01,7,Bob Doll
donovha01,6,Harry Donovan
duncaan01,6,Andy Duncan
eddledi01,6,Dike Eddleman
engluge01,6,Gene Englund
evansbo01,7,Bob Evans
ezersjo01,6,Johnny Ezersky
feeribo01,6,Bob Feerick
feigege01,6,George Feigenbaum
ferriar01,6,Arnie Ferrin
fleisje01,6,Jerry Fleishman
fulksjo01,6,Joe Fulks
gaborbi01,6,Bill Gabor
gaineel01,7,Elmer Gainer
gallaha01,5,Harry Gallatin
gardnve01,6,Vern Gardner
gatesfr01,7,Frank Gates
gibsode01,6,Dee Gibson
gibsoho01,7,Hoot Gibson
gilmuch01,6,Chuck Gilmur
glickno01,6,Normie Glick
gordopa01,6,Paul Gordon
grabojo01,5,Joe Graboski
grantbu01,6,Bud Grant
gratedo01,6,Don Grate
grozaal01,7,Alex Groza
guokaal01,7,Al Guokas
hahnro01,6,Robert Hahn
halbech01,6,Chick Halbert
halebr01,7,Bruce Hale
hamilda01,7,Dale Hamilton
hannual01,5,Alex Hannum
hargijo01,6,John Hargis
harribo01,6,Bob Harris
harribo02,5,Bob Harrison
hassebi01,6,Billy Hassett
hawkima01,7,Marshall Hawkins
henrybi01,6,Bill Henry
hermabi01,7,Bill Herman
hermskl01,6,Kleggie Hermsen
hertzso01,6,Sonny Hertzberg
hoffmpa01,5,Paul Hoffman
hollajo01,6,Joe Holland
holzmre01,6,Red Holzman
jamesge01,6,Gene James
janotho01,6,Howie Janotta
jarosto01,6,Tony Jaros
jeannbu01,6,Buddy Jeannette
johnsar01,6,Arnie Johnson
johnsra01,6,Ralph Johnson
joneswa01,6,Wah Wah Jones
jorgeno01,6,Noble Jorgensen
kaftage01,6,George Kaftan
katkale01,6,Leo Katkaveck
kerrija01,6,Jack Kerris
kinnebo01,7,Bob Kinney
kirkwa01,6,Walt Kirk
klierle01,7,Leo Klier
kluehdu01,6,Duane Klueh
knorele01,6,Lee Knorek
komenmi01,7,Milo Komenich
kubiale01,7,Leo Kubiak
kudelfr01,6,Frank Kudelka
lautewa01,6,Walt Lautenbach
lavelto01,6,Tony Lavelli
leedeed01,6,Ed Leede
levanan01,6,Andrew Levane
lewisfr01,6,Freddie Lewis
livinro01,6,Ron Livingstone
loganjo01,6,John Logan
lumppra01,6,Ray Lumpp
macaued01,5,Ed Macauley
macknjo01,6,Johnny Macknowski
mahnkjo01,6,John Mahnken
mandijo01,6,John Mandic
martisl01,5,Slater Martin
maughar01,6,Ariel Maughan
mazzama01,6,Matt Mazza
mccarmi01,6,Mike McCarron
mcguidi01,5,Dick McGuire
mckinbo01,6,Bones McKinney
mcmulma01,7,Mal McMullen
mehendi01,6,Dick Mehen
menkeke01,7,Ken Menke
miasest01,6,Stan Miasek
mikaned01,6,Ed Mikan
mikange01,5,George Mikan
mikkeve01,5,Vern Mikkelsen
miksial01,7,Al Miksis
mitchmu01,7,Murray Mitchell
mogusle01,6,Leo Mogus
morrima01,6,Max Morris
mullajo01,7,Joe Mullaney
nagelje01,7,Jerry Nagel
nichoja01,5,Jack Nichols
niemiri01,7,Richie Niemiera
noelpa01,6,Paul Noel
nolanji01,7,Jim Nolan
norlajo01,6,Johnny Norlander
nostrge01,6,George Nostrand
novakmi01,6,Mike Novak
oconnde01,6,Dermie O'Connell
odonnan01,6,Andy O'Donnell
okeefdi01,6,Dick O'Keefe
oldhajo01,6,John Oldham
ollrige01,7,Gene Ollrich
orrjo01,6,Johnny Orr
ottendo01,6,Don Otten
ottenma01,6,Mac Otten
owensre01,6,Red Owens
parhaea01,6,Easy Parham
parkija01,7,Jack Parkinson
parslch01,7,Charlie Parsley
patrist01,6,Stan Patrick
payakjo01,6,Johnny Payak
perkiwa01,6,Warren Perkins
petered01,6,Ed Peterson
phelaja01,6,Jack Phelan
phillan01,5,Andy Phillip
pollaji01,5,Jim Pollard
pritcjo01,7,John Pritchard
pughle01,6,Les Pugh
putnado01,6,Don Putman
ratkoge01,5,George Ratkovicz
raydo01,6,Don Ray
reisech01,6,Chick Reiser
risenar01,5,Arnie Risen
rittete01,6,Tex Ritter
roberbi01,6,Bill Roberts
rochare01,6,Red Rocha
rollike01,6,Kenny Rollins
royerbo01,7,Bob Royer
rulloje01,7,Jerry Rullo
sadowed01,6,Ed Sadowski
sailoke01,6,Kenny Sailors
saulpe01,5,Pep Saul
schaehe01,6,Herm Schaefer
