,Player,Tm,G,Year,ID
0,Quincy Acy,SAC,59,2016,acyqu01
1,Jordan Adams,MEM,2,2016,adamsjo01
2,Steven Adams,OKC,80,2016,adamsst01
3,Arron Afflalo,NYK,71,2016,afflaar01
4,Alexis Ajinca,NOP,59,2016,ajincal01
5,Cole Aldrich,LAC,60,2016,aldrico01
6,LaMarcus Aldridge,SAS,74,2016,aldrila01
7,Cliff Alexander,POR,8,2016,alexacl01
8,Lavoy Allen,IND,79,2016,allenla01
9,Tony Allen,MEM,64,2016,allento01
10,Al-Farouq Aminu,POR,82,2016,aminual01
11,Lou Amundson,NYK,29,2016,amundlo01
13,Chris Andersen,MIA,7,2016,anderch01
14,Chris Andersen,MEM,20,2016,anderch01
15,Alan Anderson,WAS,13,2016,anderal01
16,James Anderson,SAC,51,2016,anderja01
17,Justin Anderson,DAL,55,2016,anderju01
18,Kyle Anderson,SAS,78,2016,anderky01
19,Ryan Anderson,NOP,66,2016,anderry01
20,Giannis Antetokounmpo,MIL,80,2016,antetgi01
21,Thanasis Antetokounmpo,NYK,2,2016,antetth01
22,Carmelo Anthony,NYK,72,2016,anthoca01
23,Joel Anthony,DET,19,2016,anthojo01
24,Keith Appling,ORL,5,2016,applike01
25,Trevor Ariza,HOU,81,2016,arizatr01
26,Darrell Arthur,DEN,70,2016,arthuda01
27,Omer Asik,NOP,68,2016,asikom01
29,D.J. Augustin,OKC,34,2016,augusdj01
30,D.J. Augustin,DEN,28,2016,augusdj01
31,Jeff Ayres,LAC,17,2016,pendeje02
32,Luke Babbitt,NOP,47,2016,babbilu01
33,Cameron Bairstow,CHI,18,2016,bairsca01
34,Leandro Barbosa,GSW,68,2016,barbole01
35,J.J. Barea,DAL,74,2016,bareajo01
36,Andrea Bargnani,BRK,46,2016,bargnan01
37,Harrison Barnes,GSW,66,2016,barneha02
38,Matt Barnes,MEM,76,2016,barnema02
39,Will Barton,DEN,82,2016,bartowi01
40,Brandon Bass,LAL,66,2016,bassbr01
41,Nicolas Batum,CHO,70,2016,batumni01
42,Jerryd Bayless,MIL,52,2016,bayleje01
43,Aron Baynes,DET,81,2016,baynear01
44,Kent Bazemore,ATL,75,2016,bazemke01
45,Bradley Beal,WAS,55,2016,bealbr01
46,Michael Beasley,HOU,20,2016,beaslmi01
47,Marco Belinelli,SAC,68,2016,belinma01
48,Anthony Bennett,TOR,19,2016,bennean01
49,Patrick Beverley,HOU,71,2016,beverpa01
50,Bismack Biyombo,TOR,82,2016,biyombi01
51,Nemanja Bjelica,MIN,60,2016,bjeline01
52,Tarik Black,LAL,39,2016,blackta01
53,DeJuan Blair,WAS,29,2016,blairde01
54,Steve Blake,DET,58,2016,blakest01
55,Eric Bledsoe,PHO,31,2016,bledser01
56,Bojan Bogdanovic,BRK,79,2016,bogdabo02
57,Andrew Bogut,GSW,70,2016,bogutan01
58,Matt Bonner,SAS,30,2016,bonnema01
59,Devin Booker,PHO,76,2016,bookede01
60,Trevor Booker,UTA,79,2016,booketr01
61,Chris Bosh,MIA,53,2016,boshch01
62,Avery Bradley,BOS,76,2016,bradlav01
63,Elton Brand,PHI,17,2016,brandel01
64,Corey Brewer,HOU,82,2016,breweco01
