,Carter Number,Name
choneji01,3,Jim Chones
laceysa01,3,Sam Lacey
boonero01,3,Ron Boone
kupchmi01,3,Mitch Kupchak
snydedi01,3,Dick Snyder
douglle01,3,Leon Douglas
bridgju01,3,Junior Bridgeman
bristal01,3,Allan Bristow
smithra01,3,Randy Smith
smithph01,3,Phil Smith
dietrco01,3,Coby Dietrick
kupeccj01,3,C.J. Kupec
leero01,3,Ron Lee
abdulka01,3,Kareem Abdul-Jabbar
lucasjo01,2,John Lucas
burleto01,3,Tom Burleson
sheltlo01,3,Lonnie Shelton
murphca01,3,Calvin Murphy
russeca01,4,Cazzie Russell
newlimi01,3,Mike Newlin
carrau01,3,Austin Carr
carrml01,3,M.L. Carr
olberma01,3,Mark Olberding
paultbi01,3,Billy Paultz
eakinji01,4,Jim Eakins
boerwto01,4,Tom Boerwinkle
ervinju01,3,Julius Erving
washiri01,3,Richard Washington
grossbo01,3,Bob Gross
hayesel01,3,Elvin Hayes
gilmoar01,2,Artis Gilmore
willigu01,2,Gus Williams
hillmda01,3,Darnell Hillman
gervige01,2,George Gervin
wickssi01,3,Sidney Wicks
whitejo01,3,Jo Jo White
galemi01,3,Mike Gale
charlke01,3,Ken Charles
vanlino01,4,Norm Van Lier
forddo01,3,Don Ford
fordch01,3,Chris Ford
unselwe01,3,Wes Unseld
jonesbo01,3,Bobby Jones
thompda01,3,David Thompson
jonesca01,3,Caldwell Jones
digreer01,3,Ernie DiGregorio
johnsmi01,3,Mickey Johnson
chanedo01,3,Don Chaney
hugheki01,3,Kim Hughes
mooreot01,4,Otto Moore
johnsol01,3,Ollie Johnson
hillar01,3,Armond Hill
kunneke01,3,Kevin Kunnert
johnsde01,3,Dennis Johnson
griffpa01,3,Paul Griffin
tomjaru01,3,Rudy Tomjanovich
porteke01,3,Kevin Porter
smithbi02,3,Bingo Smith
silaspa01,3,Paul Silas
breweji01,3,Jim Brewer
busedo01,3,Don Buse
westppa01,3,Paul Westphal
sealsbr01,3,Bruce Seals
steella01,3,Larry Steele
bibbyhe01,3,Henry Bibby
wedmasc01,3,Scott Wedman
robisda01,3,Dave Robisch
dampilo01,4,Louie Dampier
webstma01,3,Marvin Webster
gillihe01,3,Herm Gilliam
malonmo01,2,Moses Malone
joneswi02,3,Wil Jones
johnsch01,3,Charles Johnson
johnsjo01,3,John Johnson
stacoke01,3,Kevin Stacom
dudlech01,3,Charles Dudley
soberri01,3,Ricky Sobers
wattssl01,3,Slick Watts
taylofa01,4,Fatty Taylor
skinnal01,3,Al Skinner
bucknqu01,3,Quinn Buckner
barryri01,3,Rick Barry
mcginge01,3,George McGinnis
isselda01,3,Dan Issel
davisjo01,3,Johnny Davis
rowecu01,3,Curtis Rowe
hollawi01,4,Wilbur Holland
willina01,3,Nate Williams
havlijo01,3,John Havlicek
lucasma01,3,Maurice Lucas
wilkebo01,3,Bob Wilkerson
freewo01,2,World B. Free
allenlu01,3,Lucius Allen
wintebr01,3,Brian Winters
porteho01,3,Howard Porter
vanardi01,4,Dick Van Arsdale
knighbi01,3,Billy Knight
cheniph01,3,Phil Chenier
pondecl01,4,Cliff Pondexter
wrighla01,3,Larry Wright
kenonla01,3,Larry Kenon
terreir01,4,Ira Terrell
brownjo01,3,John Brown
adamsdo01,3,Don Adams
colemec01,3,E.C. Coleman
raycl01,3,Clifford Ray
parisro01,2,Robert Parish
vanarto01,4,Tom Van Arsdale
dantlad01,2,Adrian Dantley
monroea01,3,Earl Monroe
simpsra01,3,Ralph Simpson
norwowi01,3,Willie Norwood
wilkeja01,3,Jamaal Wilkes
jacksph01,3,Phil Jackson
kelleri01,3,Rich Kelley
greveke01,3,Kevin Grevey
hollili01,2,Lionel Hollins
kuberst01,3,Steve Kuberski
greenmi01,3,Mike Green
fraziwa01,4,Walt Frazier
basseti01,3,Tim Bassett
averibi01,3,Bird Averitt
robinbi01,3,Bill Robinzine
wisewi01,3,Willie Wise
mixst01,3,Steve Mix
drewjo01,3,John Drew
shumajo01,3,John Shumate
jonesdw01,3,Dwight Jones
meriwjo01,3,Joe Meriweather
twardda01,3,Dave Twardzik
flynnmi01,3,Mike Flynn
maravpe01,3,Pete Maravich
mcelrji01,3,Jim McElroy
barrmi01,4,Mike Barr
moneyer01,3,Eric Money
vanbrja01,3,Jan van Breda Kolff
adamsal01,3,Alvan Adams
mcclate01,3,Ted McClain
maysc01,3,Scott May
brownfr01,3,Fred Brown
awtrede01,3,Dennis Awtrey
natersw01,3,Swen Nater
taylobr01,3,Brian Taylor
lamarbo01,4,Bo Lamar
foxji01,4,Jim Fox
beardbu01,3,Butch Beard
russeca02,3,Campy Russell
bosweto01,3,Tom Boswell
dandrbo01,3,Bob Dandridge
calhoco01,3,Corky Calhoun
abernto01,3,Tom Abernethy
greenst01,3,Steve Green
lloydsc01,3,Scott Lloyd
saundfr01,4,Fred Saunders
tatumea01,3,Earl Tatum
eberhal01,4,Al Eberhard
benneme01,3,Mel Bennett
mcmilji01,3,Jim McMillian
bradlbi01,4,Bill Bradley
walkewa01,3,Wally Walker
parkeso01,3,Sonny Parker
waltobi01,3,Bill Walton
laniebo01,3,Bob Lanier
restake01,3,Kevin Restani
bingda01,3,Dave Bing
lambejo01,3,John Lambert
ardji01,4,Jim Ard
jonesro01,3,Robin Jones
weissbo01,4,Bob Weiss
walkefo01,3,Foots Walker
mengejo01,3,John Mengelt
roundda01,3,Dan Roundfield
burdeti01,3,Ticky Burden
bryanjo01,3,Joe Bryant
terrych01,4,Chuck Terry
behagro01,3,Ron Behagen
englial01,3,Alex English
cleamji01,3,Jim Cleamons
tolsode01,3,Dean Tolson
dawkida01,2,Darryl Dawkins
mccaran01,3,Andre McCarter
barketo01,3,Tom Barker
neumajo01,3,Johnny Neumann
fostefr01,3,Fred Foster
collido01,3,Doug Collins
hudsolo01,3,Lou Hudson
nealll01,3,Lloyd Neal
grayle01,4,Leonard Gray
gianejo01,3,John Gianelli
mcmilto01,3,Tom McMillen
laytomo01,4,Mo Layton
priceji01,3,Jim Price
marinja01,4,Jack Marin
washike01,3,Kermit Washington
beckby01,4,Byron Beck
kroppto01,4,Tom Kropp
waltoll01,3,Lloyd Walton
barnema01,3,Marvin Barnes
catchha01,3,Harvey Catchings
mcadobo01,3,Bob McAdoo
jamesaa01,4,Aaron James
hawkiro01,3,Bubbles Hawkins
weathni01,3,Nick Weatherspoon
towemo01,4,Monte Towe
sojoumi01,4,Mike Sojourner
erickke01,4,Keith Erickson
cowenda01,3,Dave Cowens
meyerda01,3,Dave Meyers
oleynfr01,4,Frank Oleynick
thurmna01,4,Nate Thurmond
riordmi01,4,Mike Riordan
dickede01,3,Derrek Dickey
feherbu01,4,Butch Feher
laskojo01,4,John Laskowski
cartefr01,4,Fred Carter
boydfr01,4,Freddie Boyd
heardga01,3,Gar Heard
hendeto01,3,Tom Henderson
whiteru01,3,Rudy White
owensto01,3,Tom Owens
dentora01,4,Randy Denton
willich02,3,Chuck Williams
perrycu01,4,Curtis Perry
selleph01,4,Phil Sellers
hawesst01,3,Steve Hawes
bantomi01,3,Mike Bantom
scottch01,3,Charlie Scott
brownro02,4,Roger Brown
willijo01,3,John Williamson
hansegl01,4,Glenn Hansen
gerargu01,3,Gus Gerard
brokaga01,3,Gary Brokaw
robintr01,3,Truck Robinson
stallbu01,4,Bud Stallworth
walkean01,4,Andy Walker
schluda01,3,Dale Schlueter
johnsge02,3,George Johnson
willobi01,3,Bill Willoughby
ratleed01,3,Ed Ratleff
wohlda01,3,Dave Wohl
smithel01,4,Elmore Smith
hicksph01,4,Phil Hicks
calvima01,3,Mack Calvin
architi01,3,Tiny Archibald
davisme01,4,Mel Davis
jonesri01,4,Rich Jones
terrycl01,3,Claude Terry
garrero01,4,Rowland Garrett
davisdw01,3,Dwight Davis
meminde01,4,Dean Meminger
lovebo01,4,Bob Love
kennego01,3,Goo Kennedy
dunlemi01,3,Mike Dunleavy
lewisfr02,4,Freddie Lewis
furlote01,3,Terry Furlow
haywosp01,3,Spencer Haywood
pacejo01,4,Joe Pace
bigelbo01,3,Bob Bigelow
karlge01,4,George Karl
roberma01,4,Marv Roberts
anderje01,4,Jerome Anderson
goodrga01,4,Gail Goodrich
wardhe01,4,Henry Ward
rogerma01,3,Marshall Rogers
wilsobo03,3,Bobby Wilson
cookno01,4,Norm Cook
howarmo01,4,Mo Howard
silasja01,3,James Silas
abdulza01,3,Zaid Abdul-Aziz
willich03,4,Chuckie Williams
davismi02,4,Mickey Davis
starrke01,4,Keith Starr
mcneila01,3,Larry McNeill
barneji02,3,Jim Barnett
warneco01,4,Cornell Warner
walkne01,4,Neal Walk
danieme01,4,Mel Daniels
mccrapa01,4,Paul McCracken
mcdongl01,4,Glenn McDonald
davisro01,3,Ron Davis
dickehe01,4,Henry Dickerson
elmorle01,3,Len Elmore
trappge01,4,George Trapp
cashco01,4,Cornelius Cash
elstoda01,4,Darrell Elston
fernser01,3,Eric Fernsten
hackeru01,4,Rudy Hackett
mayescl01,3,Clyde Mayes
nelsolo01,3,Louie Nelson
barnhno01,4,Norton Barnhill
jonesji01,4,Jimmy Jones
murphal01,4,Allen Murphy
dantomi01,4,Mike D'Antoni
smithwi02,3,Willie Smith
williea01,3,Earl Williams
sikmaja01,3,Jack Sikma
roberan01,3,Anthony Roberts
