,Player,Tm,G,Year
0,Larry Nance,PHO,82,1983
29,Reggie Theus,CHI,82,1983
22,T.R. Dunn,DEN,82,1983
23,John Duren,IND,82,1983
24,Jerry Eaves,UTA,82,1983
25,Bill Hanzlik,DEN,82,1983
26,Louis Orr,NYK,82,1983
27,Artis Gilmore,SAS,82,1983
28,Marvin Webster,NYK,82,1983
30,Lorenzo Romar,GSW,82,1983
20,Rod Higgins,CHI,82,1983
31,Danny Vranes,SEA,82,1983
32,Kiki Vandeweghe,DEN,82,1983
33,Terry Tyler,DET,82,1983
35,Wally Walker,HOU,82,1983
36,Lonnie Shelton,SEA,82,1983
37,Buck Williams,NJN,82,1983
1,Caldwell Jones,HOU,82,1983
21,Gerald Henderson,BOS,82,1983
34,Dominique Wilkins,ATL,82,1983
19,Johnny High,PHO,82,1983
9,Kyle Macy,PHO,82,1983
18,Phil Hubbard,CLE,82,1983
3,Bill Cartwright,NYK,82,1983
4,Ed Nealy,KCK,82,1983
5,Alex English,DEN,82,1983
6,Kevin McHale,BOS,82,1983
7,Darwin Cook,NJN,82,1983
8,Rick Mahorn,WSB,82,1983
2,Kenny Carr,POR,82,1983
10,Michael Cooper,LAL,82,1983
12,Bill Laimbeer,DET,82,1983
13,Vinnie Johnson,DET,82,1983
14,Michael Brooks,SDC,82,1983
15,George Johnson,IND,82,1983
16,Eddie Johnson,KCK,82,1983
11,Dave Corzine,CHI,82,1983
17,James Donaldson,SEA,82,1983
53,Joe Bryant,HOU,81,1983
50,Gene Banks,SAS,81,1983
51,Elvin Hayes,HOU,81,1983
52,Franklin Edwards,PHI,81,1983
56,Darryl Dawkins,NJN,81,1983
54,Jim Paxson,POR,81,1983
55,Mark Aguirre,DAL,81,1983
57,Truck Robinson,NYK,81,1983
48,Mark Eaton,UTA,81,1983
49,Alvin Scott,PHO,81,1983
44,Jeff Wilkins,UTA,81,1983
47,Kurt Nimphius,DAL,81,1983
45,Mike Woodson,KCK,81,1983
43,Isiah Thomas,DET,81,1983
42,Andrew Toney,PHI,81,1983
41,Clark Kellogg,IND,81,1983
40,Fat Lever,POR,81,1983
39,Jay Vincent,DAL,81,1983
38,Pat Cummings,DAL,81,1983
46,Butch Carter,IND,81,1983
74,Calvin Natt,POR,80,1983
71,Fred Brown,SEA,80,1983
72,Mark Olberding,CHI,80,1983
73,Marty Byrnes,IND,80,1983
79,Greg Kelser,SEA,80,1983
75,Marques Johnson,MIL,80,1983
76,Mychal Thompson,POR,80,1983
77,Billy Knight,IND,80,1983
69,Mike Mitchell,SAS,80,1983
70,Alton Lister,MIL,80,1983
78,Wayne Cooper,POR,80,1983
68,Alvan Adams,PHO,80,1983
62,Geoff Huston,CLE,80,1983
67,Walter Davis,PHO,80,1983
58,Paul Westphal,NYK,80,1983
60,Tree Rollins,ATL,80,1983
61,Marc Iavaroni,PHI,80,1983
59,Dan Issel,DEN,80,1983
63,Jamaal Wilkes,LAL,80,1983
64,Gus Williams,SEA,80,1983
65,Danny Ainge,BOS,80,1983
66,Mike Gminski,NJN,80,1983
89,Steve Johnson,KCK,79,1983
97,Larry Bird,BOS,79,1983
96,Maurice Cheeks,PHI,79,1983
95,Brad Davis,DAL,79,1983
94,Joe Barry Carroll,GSW,79,1983
93,Mike Dunleavy,SAS,79,1983
91,Kareem Abdul-Jabbar,LAL,79,1983
90,Magic Johnson,LAL,79,1983
92,Tom Chambers,SDC,79,1983
88,Dave Greenwood,CHI,79,1983
86,Jeff Ruland,WSB,79,1983
80,Cedric Maxwell,BOS,79,1983
85,Foots Walker,NJN,79,1983
84,Norm Nixon,LAL,79,1983
83,Phil Smith,SEA,79,1983
82,Albert King,NJN,79,1983
81,Allen Leavell,HOU,79,1983
87,Paul Pressey,MIL,79,1983
104,Rickey Green,UTA,78,1983
109,George Gervin,SAS,78,1983
108,Robert Parish,BOS,78,1983
107,Richard Anderson,SDC,78,1983
106,Herb Williams,IND,78,1983
105,Jerry Sichting,IND,78,1983
102,Moses Malone,PHI,78,1983
103,Tracy Jackson,CHI,78,1983
101,Greg Ballard,WSB,78,1983
100,Trent Tucker,NYK,78,1983
99,Joe Meriweather,KCK,78,1983
98,Kurt Rambis,LAL,78,1983
120,Dan Roundfield,ATL,77,1983
119,Clint Richardson,PHI,77,1983
116,Darrell Griffith,UTA,77,1983
118,James Worthy,LAL,77,1983
117,Bob Wilkerson,CLE,77,1983
112,Cliff Robinson,CLE,77,1983
115,M.L. Carr,BOS,77,1983
111,Johnny Moore,SAS,77,1983
110,Ernie Grunfeld,NYK,77,1983
114,Maurice Lucas,PHO,77,1983
113,Dennis Johnson,PHO,77,1983
124,Sidney Moncrief,MIL,76,1983
121,Al Wood,SDC,76,1983
125,Glen Gondrezick,DEN,76,1983
126,Craig Hodges,SDC,76,1983
123,Kelvin Ransey,DAL,76,1983
122,Quintin Dailey,CHI,76,1983
127,Ben Poquette,UTA,75,1983
129,Jack Sikma,SEA,75,1983
130,Lester Conner,GSW,75,1983
131,Rolando Blackman,DAL,75,1983
132,Sam Williams,GSW,75,1983
133,Larry Drew,KCK,75,1983
134,Bill Garnett,DAL,75,1983
128,David Thompson,SEA,75,1983
