,Player,Tm,G,Year,ID
251,Kerry Kittles,NJN,82,2002,kittlke01
360,Anthony Peeler,MIN,82,2002,peelean01
121,Ricky Davis,CLE,82,2002,davisri01
314,Nazr Mohammed,ATL,82,2002,mohamna01
319,Hanno Mottola,ATL,82,2002,mottoha01
321,Troy Murphy,GSW,82,2002,murphtr01
452,Kurt Thomas,NYK,82,2002,thomaku01
33,Jon Barry,DET,82,2002,barryjo01
138,Tim Duncan,SAS,82,2002,duncati01
366,Paul Pierce,BOS,82,2002,piercpa01
359,Gary Payton,SEA,82,2002,paytoga01
304,Darius Miles,LAC,82,2002,milesda01
466,Jacque Vaughn,ATL,82,2002,vaughja01
328,Steve Nash,DAL,82,2002,nashst01
330,Rasho Nesterovic,MIN,82,2002,nestera01
154,Jeff Foster,IND,82,2002,fosteje01
333,Moochie Norris,HOU,82,2002,norrimo01
169,Devean George,LAL,82,2002,georgde01
46,Chauncey Billups,MIN,82,2002,billuch01
166,Pau Gasol,MEM,82,2002,gasolpa01
448,Wally Szczerbiak,MIN,82,2002,szczewa02
213,Lindsey Hunter,LAL,82,2002,hunteli01
287,Anthony Mason,MIL,82,2002,masonan01
229,Antawn Jamison,GSW,82,2002,jamisan01
275,Jamaal Magloire,CHH,82,2002,magloja01
250,Andrei Kirilenko,UTA,82,2002,kirilan01
249,Jason Kidd,NJN,82,2002,kiddja01
439,John Stockton,UTA,82,2002,stockjo01
279,Stephon Marbury,PHO,82,2002,marbust01
406,Malik Rose,SAS,82,2002,rosema01
112,Michael Curry,DET,82,2002,currymi01
157,Rick Fox,LAL,82,2002,foxri01
14,Shandon Anderson,NYK,82,2002,andersh01
484,Alvin Williams,TOR,82,2002,willial02
483,Aaron Williams,NJN,82,2002,williaa01
482,Chris Whitney,WAS,82,2002,whitnch01
224,Mark Jackson,NYK,82,2002,jacksma01
20,Darrell Armstrong,ORL,82,2002,armstda01
115,Antonio Daniels,SAS,82,2002,daniean01
117,Baron Davis,CHH,82,2002,davisba01
390,Quentin Richardson,LAC,81,2002,richaqu01
94,Keon Clark,TOR,81,2002,clarkke01
93,Doug Christie,SAC,81,2002,chrisdo01
161,Kevin Garnett,MIN,81,2002,garneke01
432,Latrell Sprewell,NYK,81,2002,sprewla01
305,Andre Miller,CLE,81,2002,millean02
280,Shawn Marion,PHO,81,2002,mariosh01
464,Keith Van Horn,NJN,81,2002,vanhoke01
244,Jumaine Jones,CLE,81,2002,jonesju01
243,Eddie Jones,MIA,81,2002,jonesed02
188,Matt Harpring,PHI,81,2002,harprma01
468,Antoine Walker,BOS,81,2002,walkean02
32,Brent Barry,SEA,81,2002,barrybr01
205,Robert Horry,LAL,81,2002,horryro01
237,Ervin Johnson,MIL,81,2002,johnser02
211,Troy Hudson,ORL,81,2002,hudsotr01
217,Bobby Jackson,SAC,81,2002,jacksbo01
296,Jeff McInnis,LAC,81,2002,mcinnje01
277,Karl Malone,UTA,80,2002,malonka01
393,Clifford Robinson,DET,80,2002,robincl02
344,Michael Olowokandi,LAC,80,2002,olowomi01
165,Pat Garrity,ORL,80,2002,garripa01
386,Jason Richardson,GSW,80,2002,richaja01
368,Scot Pollard,SAC,80,2002,pollasc01
73,Kobe Bryant,LAL,80,2002,bryanko01
184,Anfernee Hardaway,PHO,80,2002,hardaan01
324,Dikembe Mutombo,PHI,80,2002,mutomdi01
132,Vlade Divac,SAC,80,2002,divacvl01
69,P.J. Brown,CHH,80,2002,brownpj01
45,Mike Bibby,SAC,80,2002,bibbymi01
59,Elton Brand,LAC,80,2002,brandel01
460,Hedo Turkoglu,SAC,80,2002,turkohe01
470,Ben Wallace,DET,80,2002,wallabe01
454,Jamaal Tinsley,IND,80,2002,tinslja01
158,Adonal Foyle,GSW,79,2002,foylead01
204,Fred Hoiberg,CHI,79,2002,hoibefr01
24,Chucky Atkins,DET,79,2002,atkinch01
473,Rasheed Wallace,POR,79,2002,wallara01
373,Vitaly Potapenko,BOS,79,2002,potapvi01
310,Reggie Miller,IND,79,2002,millere01
442,Erick Strickland,BOS,79,2002,stricer01
245,Popeye Jones,WAS,79,2002,jonespo01
231,Richard Jefferson,NJN,79,2002,jefferi01
326,Lee Nailon,CHH,79,2002,nailole01
197,Trenton Hassell,CHI,78,2002,hassetr01
446,Bob Sura,GSW,78,2002,surabo01
118,Dale Davis,POR,78,2002,davisda01
394,David Robinson,SAS,78,2002,robinda01
449,Jason Terry,ATL,78,2002,terryja01
492,Corliss Williamson,DET,78,2002,willico02
363,Wesley Person,CLE,78,2002,persowe01
36,Shane Battier,MEM,78,2002,battish01
41,Jonathan Bender,IND,78,2002,bendejo01
428,Steve Smith,SAS,77,2002,smithst01
190,Othella Harrington,NYK,77,2002,harriot01
207,Allan Houston,NYK,77,2002,houstal01
84,Elden Campbell,CHH,77,2002,campbel01
101,Jason Collins,NJN,77,2002,collija04
3,Shareef Abdur-Rahim,ATL,77,2002,abdursh01
25,Stacey Augmon,CHH,77,2002,augmost01
356,Tony Parker,SAS,77,2002,parketo01
152,Danny Fortson,GSW,77,2002,fortsda01
116,Antonio Davis,TOR,77,2002,davisan01
148,Marcus Fizer,CHI,76,2002,fizerma01
175,Horace Grant,ORL,76,2002,grantho01
444,Rod Strickland,MIA,76,2002,stricro02
334,Dirk Nowitzki,DAL,76,2002,nowitdi01
295,Tracy McGrady,ORL,76,2002,mcgratr01
433,Jerry Stackhouse,DET,76,2002,stackje01
107,Austin Croshere,IND,76,2002,croshau01
12,Kenny Anderson,BOS,76,2002,anderke01
352,Scott Padgett,UTA,75,2002,padgesc01
89,Kelvin Cato,HOU,75,2002,catoke01
358,Ruben Patterson,POR,75,2002,patteru01
54,Ryan Bowen,DEN,75,2002,bowenry01
247,Shawn Kemp,POR,75,2002,kempsh01
320,Alonzo Mourning,MIA,75,2002,mournal01
288,Desmond Mason,SEA,75,2002,masonde01
441,Damon Stoudamire,POR,75,2002,stoudda01
379,Zeljko Rebraca,DET,74,2002,rebraze01
40,Raja Bell,PHI,74,2002,bellra01
88,Sam Cassell,MIL,74,2002,cassesa01
345,Greg Ostertag,UTA,74,2002,ostergr01
485,Eric Williams,BOS,74,2002,willier01
35,Tony Battie,BOS,74,2002,battito01
303,Chris Mihm,CLE,74,2002,mihmch01
478,Bonzi Wells,POR,74,2002,wellsbo01
453,Tim Thomas,MIL,74,2002,thomati01
191,Lucious Harris,NJN,74,2002,harrilu01
312,Sam Mitchell,MIN,74,2002,mitchsa01
313,Cuttino Mobley,HOU,74,2002,moblecu01
285,Kenyon Martin,NJN,73,2002,martike01
212,Larry Hughes,GSW,73,2002,hughela01
177,Eddie Griffin,HOU,73,2002,griffed01
371,James Posey,DEN,73,2002,poseyja01
289,Tony Massenburg,MEM,73,2002,masseto01
114,Erick Dampier,GSW,73,2002,dampier01
348,Bo Outlaw,PHO,73,2002,outlabo01
335,Jermaine O'Neal,IND,72,2002,onealje01
48,Corie Blount,PHI,72,2002,blounco01
111,Eddy Curry,CHI,72,2002,curryed01
236,DerMarr Johnson,ATL,72,2002,johnsde03
426,Joe Smith,MIN,72,2002,smithjo02
174,Brian Grant,MIA,72,2002,grantbr01
451,Kenny Thomas,HOU,72,2002,thomake01
370,Terry Porter,SAS,72,2002,portete01
322,Lamond Murray,CLE,71,2002,murrala01
90,Tyson Chandler,CHI,71,2002,chandty01
480,Jahidi White,WAS,71,2002,whiteja01
365,Eric Piatkowski,LAC,71,2002,piatker01
264,Rashard Lewis,SEA,71,2002,lewisra02
299,Stanislav Medvedenko,LAL,71,2002,medvest01
375,Joel Przybilla,MIL,71,2002,przybjo01
440,Peja Stojakovic,SAC,71,2002,stojape01
269,Tyronn Lue,WAS,71,2002,luety01
262,Voshon Lenard,DEN,71,2002,lenarvo01
147,Derek Fisher,LAL,70,2002,fishede01
180,Darvin Ham,MIL,70,2002,hamda01
329,Tyrone Nesby,WAS,70,2002,nesbyty01
11,Derek Anderson,POR,70,2002,anderde01
100,Jarron Collins,UTA,70,2002,collija03
469,Samaki Walker,LAL,69,2002,walkesa01
292,George McCloud,DEN,69,2002,mccloge01
7,Ray Allen,MIL,69,2002,allenra02
146,Michael Finley,DAL,69,2002,finlemi01
92,Chris Childs,TOR,69,2002,childch01
447,Stromile Swift,MEM,68,2002,swiftst01
384,Don Reid,ORL,68,2002,reiddo01
318,Terence Morris,HOU,68,2002,morrite01
488,Monty Williams,ORL,68,2002,willimo01
487,Jerome Williams,TOR,68,2002,willije01
56,Earl Boykins,LAC,68,2002,boykiea01
91,Calbert Cheaney,DEN,68,2002,cheanca01
383,Michael Redd,MIL,67,2002,reddmi01
268,Felipe Lopez,MIN,67,2002,lopezfe01
479,David Wesley,CHH,67,2002,wesleda01
