,Player,Tm,Year
0,Quincy Acy,NYK,2015
1,Jordan Adams,MEM,2015
2,Steven Adams,OKC,2015
3,Jeff Adrien,MIN,2015
5,Arron Afflalo,DEN,2015
6,Arron Afflalo,POR,2015
7,Alexis Ajinca,NOP,2015
8,Furkan Aldemir,PHI,2015
9,Cole Aldrich,NYK,2015
10,LaMarcus Aldridge,POR,2015
11,Lavoy Allen,IND,2015
12,Tony Allen,MEM,2015
13,Al-Farouq Aminu,DAL,2015
15,Lou Amundson,CLE,2015
16,Lou Amundson,NYK,2015
17,Chris Andersen,MIA,2015
18,Alan Anderson,BRK,2015
19,Kyle Anderson,SAS,2015
20,Ryan Anderson,NOP,2015
21,Giannis Antetokounmpo,MIL,2015
22,Carmelo Anthony,NYK,2015
23,Joel Anthony,DET,2015
24,Pero Antic,ATL,2015
25,Trevor Ariza,HOU,2015
26,Darrell Arthur,DEN,2015
27,Omer Asik,NOP,2015
29,D.J. Augustin,DET,2015
30,D.J. Augustin,OKC,2015
31,Jeff Ayres,SAS,2015
32,Luke Babbitt,NOP,2015
33,Cameron Bairstow,CHI,2015
34,Leandro Barbosa,GSW,2015
35,J.J. Barea,DAL,2015
36,Andrea Bargnani,NYK,2015
37,Harrison Barnes,GSW,2015
38,Matt Barnes,LAC,2015
39,Earl Barron,PHO,2015
41,Will Barton,POR,2015
42,Will Barton,DEN,2015
43,Brandon Bass,BOS,2015
44,Nicolas Batum,POR,2015
45,Jerryd Bayless,MIL,2015
46,Aron Baynes,SAS,2015
47,Kent Bazemore,ATL,2015
48,Bradley Beal,WAS,2015
49,Michael Beasley,MIA,2015
50,Marco Belinelli,SAS,2015
51,Jerrelle Benimon,UTA,2015
52,Anthony Bennett,MIN,2015
53,Patrick Beverley,HOU,2015
54,Sim Bhullar,SAC,2015
55,Bismack Biyombo,CHO,2015
57,Tarik Black,HOU,2015
58,Tarik Black,LAL,2015
59,DeJuan Blair,WAS,2015
60,Steve Blake,POR,2015
61,Eric Bledsoe,PHO,2015
62,Vander Blue,LAL,2015
63,Bojan Bogdanovic,BRK,2015
64,Andrew Bogut,GSW,2015
65,Matt Bonner,SAS,2015
66,Trevor Booker,UTA,2015
67,Carlos Boozer,LAL,2015
68,Chris Bosh,MIA,2015
69,Avery Bradley,BOS,2015
70,Elton Brand,ATL,2015
72,Corey Brewer,MIN,2015
73,Corey Brewer,HOU,2015
74,Aaron Brooks,CHI,2015
75,Jabari Brown,LAL,2015
76,Lorenzo Brown,MIN,2015
77,Markel Brown,BRK,2015
78,Shannon Brown,MIA,2015
79,Kobe Bryant,LAL,2015
80,Chase Budinger,MIN,2015
82,Reggie Bullock,LAC,2015
83,Reggie Bullock,PHO,2015
84,Trey Burke,UTA,2015
85,Alec Burks,UTA,2015
86,Caron Butler,DET,2015
87,Jimmy Butler,CHI,2015
88,Rasual Butler,WAS,2015
89,Dwight Buycks,LAL,2015
90,Will Bynum,WAS,2015
91,Bruno Caboclo,TOR,2015
92,Nick Calathes,MEM,2015
93,Jose Calderon,NYK,2015
94,Kentavious Caldwell-Pope,DET,2015
96,Isaiah Canaan,HOU,2015
97,Isaiah Canaan,PHI,2015
98,Clint Capela,HOU,2015
99,DeMarre Carroll,ATL,2015
100,Vince Carter,MEM,2015
102,Michael Carter-Williams,PHI,2015
103,Michael Carter-Williams,MIL,2015
104,Omri Casspi,SAC,2015
105,Mario Chalmers,MIA,2015
106,Tyson Chandler,DAL,2015
107,Wilson Chandler,DEN,2015
108,Will Cherry,CLE,2015
109,Patrick Christopher,UTA,2015
110,Earl Clark,BRK,2015
112,Ian Clark,UTA,2015
113,Ian Clark,DEN,2015
114,Jordan Clarkson,LAL,2015
115,Victor Claver,POR,2015
117,Norris Cole,MIA,2015
118,Norris Cole,NOP,2015
119,Darren Collison,SAC,2015
120,Nick Collison,OKC,2015
121,Mike Conley,MEM,2015
122,Jack Cooley,UTA,2015
123,Chris Copeland,IND,2015
124,Bryce Cotton,UTA,2015
125,DeMarcus Cousins,SAC,2015
126,Robert Covington,PHI,2015
127,Allen Crabbe,POR,2015
128,Jamal Crawford,LAC,2015
130,Jae Crowder,DAL,2015
131,Jae Crowder,BOS,2015
132,Dante Cunningham,NOP,2015
133,Jared Cunningham,LAC,2015
134,Seth Curry,PHO,2015
135,Stephen Curry,GSW,2015
136,Samuel Dalembert,NYK,2015
138,Troy Daniels,HOU,2015
139,Troy Daniels,MIN,2015
140,Troy Daniels,CHO,2015
142,Luigi Datome,DET,2015
143,Luigi Datome,BOS,2015
145,Brandon Davies,PHI,2015
146,Brandon Davies,BRK,2015
147,Anthony Davis,NOP,2015
148,Ed Davis,LAL,2015
149,Glen Davis,LAC,2015
150,Andre Dawkins,MIA,2015
152,Austin Daye,SAS,2015
153,Austin Daye,ATL,2015
154,Dewayne Dedmon,ORL,2015
155,Matthew Dellavedova,CLE,2015
156,Luol Deng,MIA,2015
157,DeMar DeRozan,TOR,2015
158,Boris Diaw,SAS,2015
159,Gorgui Dieng,MIN,2015
160,Spencer Dinwiddie,DET,2015
161,Joey Dorsey,HOU,2015
162,Toney Douglas,NOP,2015
163,Chris Douglas-Roberts,LAC,2015
165,Goran Dragic,PHO,2015
166,Goran Dragic,MIA,2015
168,Zoran Dragic,PHO,2015
169,Zoran Dragic,MIA,2015
170,Larry Drew,PHI,2015
171,Andre Drummond,DET,2015
172,Jared Dudley,MIL,2015
173,Tim Duncan,SAS,2015
174,Mike Dunleavy,CHI,2015
175,Kevin Durant,OKC,2015
176,Cleanthony Early,NYK,2015
177,Wayne Ellington,LAL,2015
178,Monta Ellis,DAL,2015
179,James Ennis,MIA,2015
181,Tyler Ennis,PHO,2015
182,Tyler Ennis,MIL,2015
183,Jeremy Evans,UTA,2015
184,Reggie Evans,SAC,2015
185,Tyreke Evans,NOP,2015
186,Dante Exum,UTA,2015
187,Festus Ezeli,GSW,2015
188,Kenneth Faried,DEN,2015
189,Jordan Farmar,LAC,2015
190,Derrick Favors,UTA,2015
191,Raymond Felton,DAL,2015
192,Landry Fields,TOR,2015
193,Evan Fournier,ORL,2015
194,Randy Foye,DEN,2015
195,Jamaal Franklin,DEN,2015
197,Tim Frazier,PHI,2015
198,Tim Frazier,POR,2015
199,Jimmer Fredette,NOP,2015
200,Joel Freeland,POR,2015
201,Channing Frye,ORL,2015
202,Danilo Gallinari,DEN,2015
203,Langston Galloway,NYK,2015
204,Francisco Garcia,HOU,2015
206,Kevin Garnett,BRK,2015
207,Kevin Garnett,MIN,2015
208,Marc Gasol,MEM,2015
209,Pau Gasol,CHI,2015
210,Rudy Gay,SAC,2015
212,Alonzo Gee,DEN,2015
213,Alonzo Gee,POR,2015
214,Paul George,IND,2015
215,Taj Gibson,CHI,2015
216,Manu Ginobili,SAS,2015
217,Rudy Gobert,UTA,2015
218,Drew Gooden,WAS,2015
219,Archie Goodwin,PHO,2015
220,Aaron Gordon,ORL,2015
221,Ben Gordon,ORL,2015
222,Drew Gordon,PHI,2015
223,Eric Gordon,NOP,2015
